S,Channel,0,1,2,3
13,2,3.322757145560888e-08,-2.6739825858735515e-08,2.6816371370378873e-08,6.66384159230058e-08
13,3,2.7802587440929868e-08,-4.3719596547125614e-08,-4.154151889562354e-08,5.542662784380194e-08
13,4,6.945554666137777e-10,-1.1038950449441289e-07,-1.028891804012487e-07,3.703752557175925e-08
13,5,-6.946792839506207e-08,-8.120170178733135e-08,-1.471487670461266e-08,1.9848225564386782e-07
13,6,-9.763312946245764e-09,1.0459365139621286e-08,1.43668163880547e-07,5.6319697295508543e-08
13,7,2.797733709303774e-08,1.7573455855169227e-07,3.543535219254651e-07,1.2788271066674028e-07
13,8,7.850295814319552e-08,8.747923224408244e-08,-3.462733289634178e-08,3.852564784230088e-08
13,9,-1.1265568960936002e-08,8.282780993032445e-08,3.786690307880634e-08,-1.7264719936582547e-08
13,10,1.4578076117209026e-07,1.5224508865739625e-07,4.274736444982765e-07,-1.0608241080489778e-07
13,11,8.368017182979905e-08,1.8062296320117436e-07,2.968683583859831e-07,1.3084772172947266e-07
13,12,5.0539338257205884e-08,9.238229065181256e-08,9.329651055502668e-08,1.1242449399565649e-07
13,13,7.982284210237494e-08,7.814742399259595e-08,-6.207224940787259e-08,6.748543766633568e-08
14,0,7.465322045434444e-08,-5.306508714162514e-09,-1.5241630177538247e-07,-1.2438340533369863e-08
14,1,1.6554557027418367e-08,-4.279257619703921e-08,-1.2159539805643038e-07,-3.2112390212199e-08
14,2,1.604073145995787e-08,3.200578986615003e-08,-6.276179905024675e-08,-2.6133967231351013e-08
14,3,,,,
14,4,6.81349023122559e-08,-1.3509284661241104e-08,-1.3068653079608e-07,-2.49664575698755e-08
14,5,-4.165744108547073e-09,5.227256594042372e-08,-1.7117925628900023e-07,3.072603740556988e-09
14,6,-2.8242476342190076e-08,-2.830398354733609e-08,-6.990319406521924e-08,-3.0753432038953864e-08
14,7,-6.161234607080028e-08,3.422943696940946e-08,-5.166902170654327e-08,8.559421250118565e-09
14,8,2.0340381200814387e-08,-3.463919216518912e-08,-4.991647212356131e-08,-3.522011015949418e-08
14,9,-4.38099202819399e-08,-2.6155766506064117e-08,-1.151782827318898e-07,-8.133520897013808e-08
14,10,4.035562137787642e-09,4.845616172852747e-09,-6.730070100554832e-08,1.1693298109600228e-08
14,11,1.9396773865264946e-08,4.608917179423858e-08,-9.827118979211356e-08,-1.1111955912929023e-08
14,12,5.289723911558801e-08,5.11597055058109e-08,-6.03054302986774e-08,2.854161088466133e-08
14,13,6.136219342628676e-10,4.704946229501735e-08,-5.924365782734628e-08,-1.0841433990198815e-08
15,0,3.010383624568911e-08,9.776659610805898e-08,1.4208417615910796e-07,1.0142308037926884e-07
15,1,-1.0203830292579903e-07,1.9785090701172564e-11,6.232017734164282e-08,-6.761479799064706e-08
15,2,-9.69289507274122e-08,1.2659931416284927e-07,-6.7911759276523e-08,-5.150170266863844e-08
15,3,-2.0192038811602824e-07,9.876175766327769e-08,-1.9123834159370226e-07,-6.180141298896871e-08
15,4,3.671186776831335e-08,-3.785546957925868e-08,1.44545225032852e-08,5.4326538412779794e-08
15,5,2.0497921571766345e-08,-2.962277754186276e-08,6.059949225804817e-08,1.0051138182804298e-07
15,6,-7.333052372851029e-08,5.723768281359123e-08,-4.178718691285078e-08,1.24053585108051e-07
15,7,-7.1341427701803e-08,4.277277402982735e-08,4.661226429146416e-08,1.460742207791972e-07
15,8,-3.0984169159580134e-09,6.35057967195398e-08,8.39550219073981e-09,6.003939896910146e-08
15,9,-1.1603510913463015e-09,1.1886932158863965e-07,2.2920796477945046e-08,4.7882489845919203e-08
15,10,-1.4061087893570607e-07,-7.092058631446855e-08,9.505518146899569e-09,1.5246207245006874e-07
15,11,-7.028382887320961e-08,-3.4522894721431074e-08,2.4715038328753226e-08,1.8339978892203895e-07
15,12,-1.0973075629414492e-07,-5.545925518264027e-08,-4.987484106497713e-09,7.100743157836448e-08
15,13,4.756722730211633e-08,8.798454450974983e-08,1.3964346191224684e-07,1.2823672548866834e-07
16,0,-4.918932725021607e-08,-6.510702508656061e-08,9.220448757940683e-08,6.01575638074604e-08
16,1,3.821440453516285e-08,5.3486685376914015e-08,1.787239457117348e-07,1.2154122929159239e-08
16,2,3.103904337121723e-08,-1.40394216882002e-07,1.1382971732615606e-07,7.056401975307351e-08
16,3,4.8680139188838496e-08,-1.0528773944753719e-07,1.0721858240280953e-07,-2.5101317785147426e-08
16,4,-1.4468841156900893e-07,-7.326250761418225e-08,-6.014816707727152e-08,8.250943710177013e-08
16,5,-1.2148925240725167e-07,-1.8904460349473307e-07,-7.452432185898513e-09,1.9796824542238863e-08
16,6,-6.320564693224117e-08,5.280108610793251e-08,3.725918791647175e-08,1.0277943636515322e-07
16,7,-8.407960593363496e-08,9.61780612390688e-08,-1.1117175103073476e-08,5.118195181216411e-08
16,8,6.518124299724372e-08,-1.6973401472544588e-08,7.200530002167301e-08,-1.6821042350161987e-08
16,9,3.8253864242292474e-08,-1.2178751136698063e-08,7.242398311485291e-08,3.983653422005981e-09
16,10,-2.431372250756256e-07,2.4250805798327326e-08,-8.019978539619992e-08,3.1812167492654463e-08
16,11,-1.4354448414084155e-07,5.498888211318292e-08,7.079602099093959e-09,-5.714863796222115e-08
16,12,,,,
16,13,,,,
17,0,6.729237723586637e-08,2.524884111292469e-08,8.774803495296826e-08,1.3443037785793313e-07
17,1,4.997937470174015e-08,4.551657944443964e-08,-1.958778708595077e-09,-3.3985701749998877e-09
17,2,5.969688269734779e-09,4.763238390924834e-08,-2.102130135637215e-08,-5.045155729484297e-08
17,3,2.947435962736588e-08,3.793320846378886e-08,1.2219271294532327e-08,1.4765341569090008e-09
17,4,9.432829259428122e-08,1.0131979573351136e-07,9.435478687725653e-08,3.001375844042011e-08
17,5,3.4905678500424786e-09,2.0529595077489766e-08,2.6080361003932035e-08,8.543723561691201e-09
17,6,2.1207887550207206e-07,6.389027042833511e-08,4.379670177764065e-07,3.106659727969802e-07
17,7,2.0917745470339516e-07,2.6860900849093937e-08,2.425093648385211e-07,2.5731806102357143e-07
17,8,5.8791190070172816e-08,-4.343588932998012e-08,2.0097073886961258e-07,1.880468746266299e-07
17,9,9.714788411472572e-08,6.829107567223237e-08,1.086746842935368e-07,1.709077657567186e-07
17,10,9.366120109850246e-08,1.2943077810247717e-07,1.1590179151621251e-07,2.9421881489016787e-07
17,11,8.90819496915555e-09,4.370882409902872e-08,4.323449950704652e-08,2.5423817299564823e-08
17,12,3.187450008080558e-08,3.016153753197158e-08,4.107482687044712e-08,1.9466545404594601e-07
17,13,-2.3940040427889656e-08,4.9893789567617006e-08,1.2340206348302067e-07,4.4072489894599716e-08
18,0,-3.731052579710796e-08,8.08525058824275e-08,1.0602399074991138e-07,1.6687852745733442e-07
18,1,-1.699997764348209e-08,9.466603086232268e-08,7.140189833810435e-08,1.739639493210227e-07
18,2,8.38088831087964e-08,1.1666586588542528e-07,6.221393098828951e-08,2.5064283508260005e-07
18,3,-1.8332841876328047e-08,2.139975478130998e-07,1.3764021367867354e-07,3.380072367551027e-07
18,4,6.044695737957407e-08,2.746468502471538e-07,2.7667039034070697e-07,3.1770789090154717e-07
18,5,-5.974981135986903e-08,1.2413603223185584e-07,1.385572973935383e-07,2.235741993510587e-07
18,6,-1.8327205962312376e-08,-8.932040597040124e-08,6.251666951475033e-08,2.1731908083338133e-07
18,7,-1.9587969920159194e-08,-1.765878011113918e-08,8.594816746901921e-08,1.3880985240819767e-07
18,8,2.666257036090798e-08,-8.950097541431231e-08,-4.9568771169850834e-08,-8.427025157913733e-08
18,9,-6.375887566441773e-08,6.85048973921417e-08,8.501270081160708e-08,1.292513599804957e-07
18,10,-3.015863658309588e-08,-4.314825499291884e-08,3.75930440307438e-08,2.1969023233313813e-08
18,11,-3.104032034145641e-08,-4.665792247352044e-08,-1.8849542165884805e-08,1.2120332862288813e-07
18,12,-1.4825085235478012e-08,-2.894228946265599e-09,3.9407698675618547e-08,9.054236572070221e-08
18,13,5.390844146395831e-08,-1.996610482096122e-08,-2.6579034250829948e-08,-9.926350040316355e-08
19,0,8.614858414836503e-09,2.663675832385471e-08,7.006670970493204e-08,-3.5414584158757965e-08
19,1,-3.066249268459136e-09,1.710611485622766e-08,4.3827866396354043e-08,-4.0454500017196006e-08
19,2,7.354137265622898e-08,2.1263564788094615e-07,1.4133044787743615e-07,-1.906401387985979e-07
19,3,5.6903428786886416e-08,2.3327014812875645e-07,8.438010102182354e-08,-1.394338541569877e-07
19,4,-5.070550249679304e-08,1.4657643290466836e-07,8.715417756279875e-08,-5.089169554222755e-08
19,5,5.527268284345581e-08,2.3500339491130837e-09,1.1165141381437951e-08,7.86118393083716e-08
19,6,-3.579816719231222e-08,1.4688360370703195e-07,1.6611742301775956e-07,-4.244241003287627e-08
19,7,2.608588382309971e-08,1.7050179803952566e-07,1.4316631933208437e-07,-3.2674313230883575e-08
19,8,6.239299288138269e-09,1.2247386720893313e-07,4.1536642082369046e-08,-7.576856586425271e-08
19,9,-7.4147264160798545e-09,9.491928038729483e-08,4.0934484737112194e-08,-1.3463645925403036e-07
19,10,,,,
19,11,,,,
19,12,,,,
19,13,,,,
20,0,-2.609633506146909e-08,-2.3271778525788718e-08,-4.2111333286992057e-08,-5.206481571259605e-08
20,1,6.240238474499648e-09,-1.950913695493337e-08,3.3354770942673974e-08,-1.687052050474127e-08
20,2,1.2570036266380021e-08,1.0537827973635381e-08,8.718772449239182e-09,-2.5183578874998796e-08
20,3,,,,
20,4,9.091958324113641e-09,-4.126538262050481e-08,-8.356511837193951e-09,-1.1502251376885047e-08
20,5,5.732896527560545e-08,4.046151824972293e-08,7.265262732782342e-08,4.0156636369357296e-08
20,6,7.743583971689863e-08,4.970232741200168e-09,4.539662253519146e-08,1.6874416012517674e-08
20,7,1.8687288222311685e-08,-2.3827991050282295e-08,-1.600736974832662e-08,-3.175402313592293e-08
20,8,5.347794623218732e-09,-3.2275195706474125e-08,1.582483594419629e-08,-1.28679061957794e-08
20,9,-5.514444125223983e-08,-2.2766333217079798e-08,-2.624457241702489e-08,-2.0496831717708397e-08
20,10,,,,
20,11,,,,
20,12,3.953409456292896e-08,2.5574776643890694e-08,5.9021794111714505e-08,-5.7614652910010884e-08
20,13,3.046208974963059e-08,-1.3681235653195617e-08,9.86348852417646e-09,-1.0081222739268342e-07
21,0,-6.558218626473465e-08,2.5535832248425804e-08,-1.039046202364877e-08,6.484863559282178e-08
21,1,-2.553690765404605e-08,-2.9347032681206238e-08,-5.977180280247863e-08,-6.431234213802201e-09
21,2,3.775137918634352e-08,2.9306801366255963e-08,4.3654237539569935e-08,-1.0207113124249583e-08
