,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID
1153,ild_0__itd_500,89.0,0.36905810572575753,0.7394211831637851,0.6936150877601059,0.3336597418861305,0.23143143115036272,5,4,hbo,False,S5_D4 hbo,NDARVX753BR6
1154,ild_10__itd_0,89.0,0.36905810572575753,0.8481098868440262,0.6957223250097064,0.19208926682062172,0.1336407913218528,5,4,hbo,False,S5_D4 hbo,NDARVX753BR6
1155,ild_70n__itd_0,89.0,0.36905810572575753,0.015339412546190718,0.9824893356037459,2.4719679649878783,2.4286821635546842,5,4,hbo,True,S5_D4 hbo,NDARVX753BR6
1246,Exhale,89.0,0.21886385836389538,0.04010767227767254,0.5322149491671663,2.083131849498246,1.108673911389214,5,5,hbo,True,S5_D5 hbo,NDARVX753BR6
1247,Inhale,89.0,0.21886385836389538,0.12108855094792632,0.47561055460754176,-1.5651844457422361,-0.7444182423025628,5,5,hbo,False,S5_D5 hbo,NDARVX753BR6
1251,control,89.0,0.21886385836389538,2.7699347482032515e-07,0.4050485269002967,5.561794424537174,2.252796638581066,5,5,hbo,True,S5_D5 hbo,NDARVX753BR6
1330,ild_0__itd_50,89.0,0.21886385836389538,9.987482718440229e-05,0.6169320849734821,4.074626440988737,2.5137677857272607,5,5,hbo,True,S5_D5 hbo,NDARVX753BR6
1331,ild_0__itd_500,89.0,0.21886385836389538,0.00029849473310847226,0.5341437891528357,3.7648562673553805,2.0109745922610043,5,5,hbo,True,S5_D5 hbo,NDARVX753BR6
1332,ild_10__itd_0,89.0,0.21886385836389538,0.00016778711207437235,0.5357665446392834,3.929690322801671,2.1053966057498816,5,5,hbo,True,S5_D5 hbo,NDARVX753BR6
1333,ild_70n__itd_0,89.0,0.21886385836389538,0.0001497782162695826,0.7566020200286374,3.9616824221192632,2.9974169232873797,5,5,hbo,True,S5_D5 hbo,NDARVX753BR6
