,time,condition,epoch,S1_D1 hbo,S1_D1 hbr,S1_D2 hbo,S1_D2 hbr,S2_D1 hbo,S2_D1 hbr,S2_D2 hbo,S2_D2 hbr,S3_D3 hbo,S3_D3 hbr,S4_D3 hbo,S4_D3 hbr,S5_D4 hbo,S5_D4 hbr,S5_D5 hbo,S5_D5 hbr,S6_D4 hbo,S6_D4 hbr,S6_D5 hbo,S6_D5 hbr,S7_D6 hbo,S7_D6 hbr,S7_D7 hbo,S7_D7 hbr,S8_D6 hbo,S8_D6 hbr,S8_D7 hbo,S8_D7 hbr
2771,0.0,control,53,-437034.67143745534,574707.821621405,-624149.1043187054,494050.3184017834,1075335.1219136373,265521.4414488732,57215.4554484996,-3668.570619748346,-85060.5132317842,-187476.78485085873,507324.32682907546,-236718.86834575777,1568327.800048074,-1139365.5526008378,-245101.45960766615,92752.72862481026,-1393922.5889112942,263615.55306041386,-1301494.757371821,635622.1478005834,776885.4994334311,-293993.55685944896,1913514.584006813,84379.11248964474,-969495.0293572106,366881.9822820017,-799697.7070192014,302626.2859460982
2772,0.3333333333333333,control,53,-374500.3706231562,345557.75767092925,-839561.2871037041,391555.1722917998,1215135.247806228,328419.73853521136,237819.52476910196,136008.98903851988,109817.3522326582,-420885.0976755012,269501.85252672806,-204499.21461821612,3565522.56478608,-2101438.1213143505,1502410.4002304429,-568550.9354319212,-1576048.4519286382,315864.6321217096,-1950386.1953344618,800069.2287001918,333171.9315515556,-126080.87198693884,1493843.4392311778,314503.83324368467,-1229269.6641182504,465187.4197125604,-1013975.4221900443,383714.51282732247
2773,0.6666666666666666,control,53,43322.26264276073,361389.9782813442,-724890.5627066105,401669.24636142974,1791609.9348517447,430569.4797921523,871476.2475074815,307384.5406834254,266174.57364461914,-27263.785347917845,623011.6746077399,-79140.01680524343,4230347.6143192835,-3000982.1328271134,2023908.407746938,-765899.2631284738,-1162422.1562541695,402528.72308044316,-1827513.4952127628,1042359.983260237,846076.9966383821,-320177.4081252404,2570183.369846437,279645.0333321668,-1520519.869753556,575404.0268615085,-1254216.0779568413,474627.7876183114
2774,1.0,control,53,458754.8743875276,548496.9130527705,-602130.9688714945,485142.13461820834,2530833.986920424,558642.8845945192,1701000.1267485926,464536.5235599118,-278328.00183954986,494924.0881325145,1119329.6043772826,-15144.383940747977,3551734.8616285906,-3049509.032059993,862567.5494241074,-326417.85960951564,-529997.5568357992,475503.5753592133,-1384726.980501889,1260858.53764895,1754301.246160277,-663872.9433587724,4325634.311201986,105002.92506199921,-1759219.8114519424,665734.2556188077,-1451110.1210014753,549137.5835680923
2775,1.3333333333333333,control,53,776387.5406008757,522155.17221981764,-680927.5669503774,508606.55147671583,3055174.321442939,657429.3216706908,2285644.097003398,589660.1139733591,-1167711.9699413527,722427.5354052733,1138546.0602170336,-12311.958792132955,3662159.9784440235,-2632476.464372695,441619.77184265933,-167120.33832291406,-182874.36768029362,466470.75156351604,-1274735.5637545288,1382878.7036641054,2117162.390119199,-801188.9808396739,5209330.351190649,80337.31352432488,-1925804.0268315298,728774.0292171071,-1588518.783274837,601136.5736309852
2776,1.6666666666666667,control,53,953599.6132508182,227296.48883641497,-878909.3186299686,424019.895233491,3220333.1893260307,728494.8604188332,2345078.010239892,660721.4524790519,-1795932.3433342986,792884.6631817657,615239.3742806229,5254.970519791013,4861544.170589788,-2829497.53667178,1523634.9862745749,-576582.8674843716,-226635.01609458224,358612.6316422703,-1613123.3369449885,1430951.069502817,1727281.5139912823,-653647.9781978216,4850633.208848221,282425.2654141727,-2083375.3773875153,788403.1017675484,-1718493.0935248735,650322.2126970101
2777,2.0,control,53,1263357.5262212725,34333.14830759756,-849140.1637563718,361646.5441600005,3466398.4432659172,834051.1352402049,2393003.8884192514,758424.9236554003,-2064772.109348656,1088017.000573364,345087.7339779381,69759.95248766651,4725707.248510122,-2946731.9518782166,2029237.2801248848,-767915.8461971307,47656.0831985241,291420.57685677,-1490812.5414173817,1526301.5108143697,1643335.0056524035,-621880.4492756355,5009627.070135535,394020.02398757666,-2296016.10042868,868871.8485077404,-1893891.9284705978,716697.6662127502
2778,2.3333333333333335,control,53,1948030.3481253602,97789.10610983394,-541716.2561172753,469629.0209852746,4380413.510722765,956666.4522120418,3228349.7966681477,951295.309252699,-2415525.688197249,1604843.510274231,804617.609843668,167485.1049784358,2441936.689126396,-1804557.9476268264,730010.8489075612,-276254.9773072549,1015449.2445506715,334218.97037010064,-529528.0571577409,1661295.4576201062,2606473.3764537997,-986356.9076291719,6907044.743771671,224731.15512602692,-2543673.4804216777,962591.8034814545,-2098174.6044097356,794003.5118591315
2779,2.6666666666666665,control,53,2399630.019182284,17200.70205619574,-560291.9026273144,583486.389747002,5317295.389082162,1007111.7144232957,4122400.9034473347,1093446.5888937535,-3060731.2489836244,1759876.648863317,916264.6602008286,219785.07249852965,1183102.5108126202,-1018125.9659535851,-593012.389861734,224411.21875014575,1574787.3663707268,321087.35557193804,-103035.66380967633,1654167.9159740892,3140034.6565327602,-1188270.289520443,8105865.769866834,201212.01058992132,-2726837.4484098954,1031905.784082994,-2249259.242054376,851177.8445508371
2780,3.0,control,53,2407937.8652788317,-281956.41254993406,-992667.8023441257,571181.0549118917,5652553.905705578,1011276.8138354069,4282165.477727556,1133700.2545501925,-3542645.861382562,1681536.2543042386,285378.5356187286,253299.81396396062,3428648.6565209334,-2311352.9011569056,226465.67576575172,-85700.46625082694,1449560.086133033,204270.2631451916,-443304.7649386959,1536076.2284503758,2655919.096236498,-1005068.4462548671,7616863.326446345,443267.1242366639,-2849794.7722825552,1078436.0141022247,-2350681.8249296844,889558.7718652614
