,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID
17464,Exhale,66.0,0.009660052666689366,6.944249393131936e-11,0.08319540492523234,7.76605780003838,0.646100323346952,6,4,hbo,True,S6_D4 hbo,NDARLM531OY3
17465,Hold,66.0,0.009660052666689366,1.0689307738988784e-10,0.1774198864532464,7.661386007999825,1.3592822356138197,6,4,hbo,True,S6_D4 hbo,NDARLM531OY3
17466,Inhale,66.0,0.009660052666689366,1.0774020449069666e-12,0.08265765689407897,-8.778397043327555,-0.7256017308873663,6,4,hbo,True,S6_D4 hbo,NDARLM531OY3
17470,control,66.0,0.009660052666689366,0.6417578641305215,0.07819529499342838,0.46739355555108675,0.036547976954344585,6,4,hbo,False,S6_D4 hbo,NDARLM531OY3
17528,noise,66.0,0.009660052666689366,2.1679707518237206e-07,0.04880117304004929,-5.785492886714893,-0.28233883948654775,6,4,hbo,True,S6_D4 hbo,NDARLM531OY3
17529,speech,66.0,0.009660052666689366,8.230075238587756e-08,0.048896881195354014,-6.029693383408803,-0.29483320101295246,6,4,hbo,True,S6_D4 hbo,NDARLM531OY3
17596,Exhale,66.0,0.02132940602903554,1.8901691548292024e-11,0.12362291318421081,8.081776968397367,0.9990928125383421,6,5,hbo,True,S6_D5 hbo,NDARLM531OY3
17597,Hold,66.0,0.02132940602903554,4.5337442083037664e-08,0.26363431057128145,6.178810055720365,1.6289463291907396,6,5,hbo,True,S6_D5 hbo,NDARLM531OY3
17598,Inhale,66.0,0.02132940602903554,3.380825090211487e-11,0.12282385489210927,-7.940693101758816,-0.9753065372731979,6,5,hbo,True,S6_D5 hbo,NDARLM531OY3
17602,control,66.0,0.02132940602903554,0.27163131953880254,0.1161930778878213,1.108588158977234,0.12881027030155814,6,5,hbo,False,S6_D5 hbo,NDARLM531OY3
17660,noise,66.0,0.02132940602903554,0.00021969935659919978,0.07251534124317881,-3.9109250012086143,-0.28360206103912217,6,5,hbo,True,S6_D5 hbo,NDARLM531OY3
17661,speech,66.0,0.02132940602903554,4.0278970074437207e-07,0.07265755728245274,-5.627839836159401,-0.40890509527222113,6,5,hbo,True,S6_D5 hbo,NDARLM531OY3
17728,Exhale,66.0,0.015609132729043136,9.115837383675047e-07,0.10575453001891465,5.417914701819366,0.5729690229734751,7,6,hbo,True,S7_D6 hbo,NDARLM531OY3
