,Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name,ID
22502,ild_10__itd_0,68.0,1.470369464338187e-13,0.034631330458021324,3.3095118118774326e-08,2.155917251958232,7.135033610786104e-08,8,6,hbo,True,S8_D6 hbo,NDARGT639XS6
22503,ild_70n__itd_0,68.0,1.470369464338187e-13,0.8940261625441872,3.3154357638934315e-08,0.13371084976527928,4.433097333323885e-09,8,6,hbo,False,S8_D6 hbo,NDARGT639XS6
22572,Exhale,68.0,1.4058873978669975e-13,0.6630580918280423,6.257675069486296e-08,-0.4376068755444603,-2.7384016353303617e-08,8,7,hbo,False,S8_D7 hbo,NDARGT639XS6
22573,Hold,68.0,1.4058873978669975e-13,1.7498306006053678e-24,8.23888062499251e-08,-15.821190038396029,-1.3034889607166556e-06,8,7,hbo,True,S8_D7 hbo,NDARGT639XS6
22574,Inhale,68.0,1.4058873978669975e-13,2.250326976246574e-07,5.569347047435345e-08,5.756804186399865,3.206164039818952e-07,8,7,hbo,True,S8_D7 hbo,NDARGT639XS6
22578,control,68.0,1.4058873978669975e-13,9.462991900198973e-05,3.962204737145719e-08,4.1499610175587875,1.6442995202741494e-07,8,7,hbo,True,S8_D7 hbo,NDARGT639XS6
22636,ild_0__itd_50,68.0,1.4058873978669975e-13,0.011418832670012091,3.879402528115147e-08,-2.6002261882097524,-1.0087324048212126e-07,8,7,hbo,True,S8_D7 hbo,NDARGT639XS6
22637,ild_0__itd_500,68.0,1.4058873978669975e-13,0.001801334855072632,3.9721408332956766e-08,3.2490088485214392,1.2905520714950976e-07,8,7,hbo,True,S8_D7 hbo,NDARGT639XS6
22638,ild_10__itd_0,68.0,1.4058873978669975e-13,7.516275217369394e-13,3.967026186395359e-08,8.807577545562658,3.4939890761954827e-07,8,7,hbo,True,S8_D7 hbo,NDARGT639XS6
22639,ild_70n__itd_0,68.0,1.4058873978669975e-13,0.00013107133523292748,3.972570508749544e-08,4.0558531435583545,1.6112162585919049e-07,8,7,hbo,True,S8_D7 hbo,NDARGT639XS6
